t,x,y,z
0.326,1.64202,0,1.28941
0.327,1.64704,0,1.29115
0.328,1.65206,0,1.29287
0.329,1.65709,0,1.29459
0.33,1.66211,0,1.29629
0.331,1.66713,0,1.29798
0.332,1.67216,0,1.29967
0.333,1.67718,0,1.30134
0.334,1.6822,0,1.30301
0.335,1.68722,0,1.30466
0.336,1.69224,0,1.30631
0.337,1.69727,0,1.30794
0.338,1.70229,0,1.30957
0.339,1.70731,0,1.31119
0.34,1.71233,0,1.31279
0.341,1.71736,0,1.31439
0.342,1.72238,0,1.31597
0.343,1.7274,0,1.31755
0.344,1.73242,0,1.31912
0.345,1.73744,0,1.32067
0.346,1.74246,0,1.32222
0.347,1.74748,0,1.32376
0.348,1.75251,0,1.32528
0.349,1.75753,0,1.3268
0.35,1.76255,0,1.32831
0.351,1.76757,0,1.32981
0.352,1.77259,0,1.3313
0.353,1.77761,0,1.33277
0.354,1.78263,0,1.33424
0.355,1.78765,0,1.3357
0.356,1.79267,0,1.33715
0.357,1.79769,0,1.33859
0.358,1.80271,0,1.34002
0.359,1.80773,0,1.34144
0.36,1.81275,0,1.34284
0.361,1.81777,0,1.34424
0.362,1.82279,0,1.34563
0.363,1.82781,0,1.34701
0.364,1.83283,0,1.34838
0.365,1.83785,0,1.34974
0.366,1.84287,0,1.35109
0.367,1.84789,0,1.35243
0.368,1.85291,0,1.35376
0.369,1.85793,0,1.35509
0.37,1.86295,0,1.3564
0.371,1.86797,0,1.3577
0.372,1.87299,0,1.35899
0.373,1.87801,0,1.36027
0.374,1.88302,0,1.36154
0.375,1.88804,0,1.3628
0.376,1.89306,0,1.36405
0.377,1.89808,0,1.3653
0.378,1.9031,0,1.36653
0.379,1.90812,0,1.36775
0.38,1.91314,0,1.36896
0.381,1.91815,0,1.37017
0.382,1.92317,0,1.37136
0.383,1.92819,0,1.37254
0.384,1.93321,0,1.37372
0.385,1.93823,0,1.37488
0.386,1.94324,0,1.37603
0.387,1.94826,0,1.37718
0.388,1.95328,0,1.37831
0.389,1.9583,0,1.37943
0.39,1.96331,0,1.38055
0.391,1.96833,0,1.38165
0.392,1.97335,0,1.38275
0.393,1.97837,0,1.38383
0.394,1.98338,0,1.38491
0.395,1.9884,0,1.38597
0.396,1.99342,0,1.38703
0.397,1.99843,0,1.38807
0.398,2.00345,0,1.38911
0.399,2.00847,0,1.39013
0.4,2.01348,0,1.39115
0.401,2.0185,0,1.39216
0.402,2.02352,0,1.39315
0.403,2.02853,0,1.39414
0.404,2.03355,0,1.39511
0.405,2.03856,0,1.39608
0.406,2.04358,0,1.39704
0.407,2.04859,0,1.39799
0.408,2.05361,0,1.39892
0.409,2.05863,0,1.39985
0.41,2.06364,0,1.40077
0.411,2.06866,0,1.40167
0.412,2.07367,0,1.40257
0.413,2.07869,0,1.40346
0.414,2.0837,0,1.40434
0.415,2.08872,0,1.40521
0.416,2.09373,0,1.40607
0.417,2.09875,0,1.40691
0.418,2.10376,0,1.40775
0.419,2.10878,0,1.40858
0.42,2.11379,0,1.4094
0.421,2.11881,0,1.41021
0.422,2.12382,0,1.41101
0.423,2.12883,0,1.4118
0.424,2.13385,0,1.41258
0.425,2.13886,0,1.41335
0.426,2.14388,0,1.41411
0.427,2.14889,0,1.41486
0.428,2.1539,0,1.4156
0.429,2.15892,0,1.41633
0.43,2.16393,0,1.41705
0.431,2.16895,0,1.41776
0.432,2.17396,0,1.41846
0.433,2.17897,0,1.41916
0.434,2.18399,0,1.41984
0.435,2.189,0,1.42051
0.436,2.19401,0,1.42117
0.437,2.19902,0,1.42182
0.438,2.20404,0,1.42246
0.439,2.20905,0,1.4231
0.44,2.21406,0,1.42372
0.441,2.21908,0,1.42433
0.442,2.22409,0,1.42493
0.443,2.2291,0,1.42553
0.444,2.23411,0,1.42611
0.445,2.23912,0,1.42668
0.446,2.24414,0,1.42725
0.447,2.24915,0,1.4278
0.448,2.25416,0,1.42834
0.449,2.25917,0,1.42888
0.45,2.26418,0,1.4294
0.451,2.2692,0,1.42992
0.452,2.27421,0,1.43042
0.453,2.27922,0,1.43092
0.454,2.28423,0,1.4314
0.455,2.28924,0,1.43188
0.456,2.29425,0,1.43234
0.457,2.29926,0,1.4328
0.458,2.30427,0,1.43324
0.459,2.30929,0,1.43368
0.46,2.3143,0,1.4341
0.461,2.31931,0,1.43452
0.462,2.32432,0,1.43493
0.463,2.32933,0,1.43532
0.464,2.33434,0,1.43571
0.465,2.33935,0,1.43608
0.466,2.34436,0,1.43645
0.467,2.34937,0,1.43681
0.468,2.35438,0,1.43716
0.469,2.35939,0,1.43749
0.47,2.3644,0,1.43782
0.471,2.36941,0,1.43814
0.472,2.37442,0,1.43845
0.473,2.37943,0,1.43874
0.474,2.38444,0,1.43903
0.475,2.38945,0,1.43931
0.476,2.39446,0,1.43958
0.477,2.39946,0,1.43984
0.478,2.40447,0,1.44009
0.479,2.40948,0,1.44032
0.48,2.41449,0,1.44055
0.481,2.4195,0,1.44077
